Sleeper_ID;ADP;Player_Name;Last_Month;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;All_Year
4381;146;"Taysom Hill,QB";73;32;30;54;46;114;21;0;0;0;0;0;0;297
954;146;"Cam Newton,QB";127;25;19;116;98;181;33;0;0;0;0;0;0;472
7567;146;"Kenneth Gainwell,RB";54;0;4;13;13;54;16;0;0;0;0;0;0;100
3271;146;"Tyler Higbee,TE";72;19;26;31;45;109;21;0;0;0;0;0;0;251
3242;148;"Kenyan Drake,RB";105;55;46;99;60;148;32;0;0;0;0;0;0;440
5248;150;"Gus Edwards,RB";89;36;32;43;62;114;26;0;0;0;0;0;0;313
1837;154;"Jimmy Garoppolo,QB";91;42;48;68;82;153;22;0;0;0;0;0;0;415
6943;154;"Gabriel Davis,WR";136;94;93;134;95;197;41;0;0;0;0;0;0;654
536;155;"Antonio Brown,WR";104;34;29;38;94;151;33;0;0;0;0;0;0;379
5854;156;"Drew Lock,QB";94;40;62;62;85;124;28;0;0;0;0;0;0;401
2319;156;"DeVante Parker,WR";78;50;54;58;57;132;22;0;0;0;0;0;0;373
5917;156;"Mecole Hardman,WR";97;39;26;50;69;138;33;0;0;0;0;0;0;355
5347;157;"Nyheim Hines,RB";77;32;44;45;40;95;24;0;0;0;0;0;0;280
2391;158;"David Johnson,RB";72;44;25;72;60;102;19;0;0;0;0;0;0;322
5987;158;"Alexander Mattison,RB";82;33;31;51;52;114;24;0;0;0;0;0;0;305
7594;158;"Chuba Hubbard,RB";48;0;2;4;11;49;13;0;0;0;0;0;0;79
7587;158;"Dyami Brown,WR";51;0;1;10;6;52;18;0;0;0;0;0;0;87
2152;159;"Teddy Bridgewater,QB";100;44;35;42;61;163;26;0;0;0;0;0;0;371
6130;159;"Devin Singletary,RB";92;41;25;37;47;127;32;0;0;0;0;0;0;309
7540;160;"Amari Rodgers,WR";71;0;1;4;3;68;20;0;0;0;0;0;0;96
2325;162;"Nelson Agholor,WR";86;18;21;42;32;127;22;0;0;0;0;0;0;262
5110;163;"Russell Gage,WR";102;27;24;32;42;112;32;0;0;0;0;0;0;269
5880;164;"Parris Campbell,WR";110;41;63;79;74;168;26;0;0;0;0;0;0;451
5916;165;"Darrell Henderson,RB";93;25;25;42;50;111;29;0;0;0;0;0;0;282
7569;166;"Nico Collins,WR";66;0;0;2;7;67;18;0;0;0;0;0;0;94
7605;169;"Kyle Trask,QB";35;0;1;3;4;23;18;0;0;0;0;0;0;49
3202;169;"Austin Hooper,TE";45;22;25;40;42;68;16;0;0;0;0;0;0;213
7581;170;"Kellen Mond,QB";58;0;0;1;4;64;16;0;0;0;0;0;0;85
6870;170;"Bryan Edwards,WR";109;39;56;86;80;162;32;0;0;0;0;0;0;455
515;171;"Rob Gronkowski,TE";66;17;18;33;36;94;22;0;0;0;0;0;0;220
4149;174;"Jamaal Williams,RB";97;17;31;60;31;129;23;0;0;0;0;0;0;291
7611;176;"Rhamondre Stevenson,RB";31;0;0;2;4;25;15;0;0;0;0;0;0;46
1067;176;"Marvin Jones,WR";67;21;27;41;55;87;19;0;0;0;0;0;0;250
1339;177;"Zach Ertz,TE";79;28;38;52;49;102;26;0;0;0;0;0;0;295
4571;178;"Blake Jarwin,TE";55;18;32;44;18;97;11;0;0;0;0;0;0;220
4950;180;"Christian Kirk,WR";85;47;54;65;68;119;27;0;0;0;0;0;0;380
7612;182;"D'Wayne Eskridge,WR";46;0;0;1;4;44;15;0;0;0;0;0;0;64
7585;184;"Davis Mills,QB";43;0;0;1;1;40;13;0;0;0;0;0;0;55
3664;184;"J.D. McKissic,RB";57;27;20;39;37;70;16;0;0;0;0;0;0;209
5170;184;"Phillip Lindsay,RB";66;22;22;53;47;94;18;0;0;0;0;0;0;256
4435;184;"Anthony Firkser,TE";91;6;12;34;40;119;24;0;0;0;0;0;0;235
7670;185;"Josh Palmer,WR";39;0;0;0;0;31;17;0;0;0;0;0;0;48
4089;186;"Gerald Everett,TE";67;11;14;48;71;110;17;0;0;0;0;0;0;271
827;187;"Tyrod Taylor,QB";96;2;3;39;59;122;28;0;0;0;0;0;0;253
1110;187;"T.Y. Hilton,WR";56;24;21;32;44;84;14;0;0;0;0;0;0;219
4157;188;"Tarik Cohen,RB";69;27;32;49;41;90;12;0;0;0;0;0;0;251
7561;192;"Elijah Mitchell,RB";46;0;0;2;0;39;13;0;0;0;0;0;0;54
1144;193;"Cole Beasley,WR";51;28;16;30;33;75;7;0;0;0;0;0;0;189
367;193;"Jared Cook,TE";51;10;5;23;32;63;15;0;0;0;0;0;0;148
7563;195;"Javian Hawkins,RB";30;0;0;1;4;40;7;0;0;0;0;0;0;52
4985;196;"Rashaad Penny,RB";37;32;39;49;37;58;8;0;0;0;0;0;0;223
1476;196;"Latavius Murray,RB";49;16;14;25;21;59;20;0;0;0;0;0;0;155
6149;196;"Darius Slayton,WR";54;40;40;60;55;82;10;0;0;0;0;0;0;287
6853;201;"Van Jefferson,WR";54;46;56;60;55;89;18;0;0;0;0;0;0;324
7595;202;"Tylan Wallace,WR";30;0;2;8;4;28;12;0;0;0;0;0;0;54
4055;202;"O.J. Howard,TE";44;20;11;32;23;65;18;0;0;0;0;0;0;169
6805;203;"K.J. Hamler,WR";46;44;31;49;49;76;13;0;0;0;0;0;0;262
7562;203;"Tutu Atwell,WR";38;0;2;0;2;32;14;0;0;0;0;0;0;50
4973;203;"Hayden Hurst,TE";44;33;21;59;67;58;13;0;0;0;0;0;0;251
2410;206;"Jamison Crowder,WR";47;40;25;45;45;71;10;0;0;0;0;0;0;236
5026;208;"Tre'Quan Smith,WR";51;8;9;24;23;78;8;0;0;0;0;0;0;150
7533;208;"Anthony Schwartz,WR";22;0;1;1;2;16;10;0;0;0;0;0;0;30
5009;208;"Christopher Herndon,TE";54;27;30;36;24;77;14;0;0;0;0;0;0;208
4152;209;"Marlon Mack,RB";40;29;33;46;21;64;7;0;0;0;0;0;0;200
6885;211;"Ke'Shawn Vaughn,RB";53;34;33;53;49;81;12;0;0;0;0;0;0;262
6895;211;"Quintez Cephus,WR";60;44;46;61;51;91;18;0;0;0;0;0;0;311
5906;212;"Dawson Knox,TE";46;15;17;27;26;71;12;0;0;0;0;0;0;168
7568;213;"Brevin Jordan,TE";13;0;2;3;4;15;3;0;0;0;0;0;0;27
5878;215;"N'Keal Harry,WR";43;43;37;42;44;81;18;0;0;0;0;0;0;265
7064;217;"Darrynton Evans,RB";40;10;11;25;25;52;11;0;0;0;0;0;0;134
2378;217;"Tevin Coleman,RB";43;2;2;21;23;44;17;0;0;0;0;0;0;109
2238;217;"John Brown,WR";34;9;13;23;26;57;8;0;0;0;0;0;0;136
