League_ID;Name;Rosters;QB;RB;WR;TE;Flex;SFlex;BN;Total_Players;Start_Players;Taxi_Slots;Rec_Bonus;Rec_RB;Rec_WR;Rec_TE;Pass_TD;Pass_Int;Old_League_ID
784460249326268416;"Winners Only";12;1;1;2;1;5;1;16;27;11;3;6.0;1.0;0.8;0.0;0.0;-1.0;663210128182411264
784460195744108544;"Scooter (all flex)";12;0;0;0;0;9;2;14;25;11;4;6.0;1.0;0.8;0.0;0.0;-2.0;665030255022514176
784439867827408896;"Deep League - Draft Right Now";12;1;2;3;2;3;1;12;24;12;5;6.0;1.0;0.8;0.0;0.0;-2.0;650120930642710528
784439735937511424;"League of Champions";12;1;2;3;1;3;1;14;25;11;4;6.0;1.0;1.0;0.3;0.5;-2.0;650170341271891968
784439640756195328;"No quitters here. ";12;1;2;3;1;3;1;10;21;11;4;6.0;1.0;1.0;0.5;0.3;-1.0;656602060413837312
784437412507037696;"Nevada Sports League";12;1;2;3;2;2;1;14;25;11;5;6.0;1.0;0.5;0.0;0.0;-2.0;703429925985660928
784425676437565440;"No Punt Intended";12;1;2;2;1;3;1;18;28;10;3;6.0;1.0;1.0;0.0;0.5;-1.0;701635109253648384
782454988508147712;"Order 66 Was An Inside Job";12;1;2;3;2;2;1;19;30;11;5;6.0;0.0;1.5;0.5;1.0;-1.0;0
784190849499197440;"The Empire Dynasty League";12;1;2;2;1;2;1;16;25;9;0;6.0;1.0;0.5;0.0;0.0;-2.0;0
784935288249163776;"The Sanchize: Dynasty";12;1;2;2;1;4;1;20;31;11;3;6.0;1.0;0.5;0.0;0.0;-1.0;0
785687298468728832;"Covid Games 2.0";12;1;2;3;1;2;1;16;26;10;6;6.0;1.0;0.5;0.0;0.0;-1.0;672900155216855040
785061274269700096;"Huge Stakes";12;1;2;3;1;3;1;20;31;11;5;6.0;1.0;1.0;0.0;0.0;-2.0;699805583863275520
784578152352567296;"Take a Chill Pill";12;1;2;3;1;2;1;12;22;10;4;6.0;1.0;1.0;0.0;0.0;-2.0;0
784988166229786624;"12 Guys 1 Cup";12;1;2;3;1;2;1;12;22;10;4;4.0;1.0;0.0;0.0;0.0;-1.0;0
781301291182899200;"Goblet of Fire ";12;1;2;3;1;3;1;15;26;11;3;6.0;1.0;0.5;0.0;0.0;-1.0;0
785307497350217728;"Dynasty Armchair Experts";12;1;2;3;1;3;1;15;26;11;4;6.0;1.0;0.5;0.0;0.0;-1.0;646616882362818560
785142818560651264;"Another Dynasty Lg...";12;1;2;3;1;2;1;12;22;10;5;4.0;1.0;0.5;0.0;0.0;-1.0;699474032281624576
784815917824679936;"The Justice League";12;1;2;3;1;5;1;14;27;13;5;6.0;1.0;0.5;0.0;0.0;-1.0;731568946997727232
784718475141718016;"Fantasy Failures ";12;1;2;3;1;2;1;14;24;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;724439127436636160
784648725028069376;"Avengerz League";12;1;2;2;1;4;1;14;25;11;3;6.0;1.0;0.0;0.0;0.0;-1.0;697583489423347712
784529954040893440;"Elimination Chamber";12;1;2;2;1;3;1;16;26;10;4;6.0;0.0;0.5;0.0;0.0;-1.0;651046125272395776
784479052269535232;"Snipe Central (Pew Pew)";12;1;2;3;1;2;1;13;23;10;4;4.0;1.0;0.5;0.0;0.0;-1.0;731620675474812928
785271705219289088;"Late Night Hooligans";12;1;2;2;1;3;1;15;25;10;3;6.0;1.0;0.5;0.0;0.0;-1.0;708182138758995968
784550320456994816;"11 Amateurs, 1 Pro";12;1;2;2;1;3;1;12;22;10;4;6.0;1.0;0.0;0.0;0.0;-1.0;705169330417008640
785248559141355520;"Yacht Possum Dynasty League";12;1;2;3;1;2;1;16;26;10;0;4.0;0.5;0.0;0.0;0.0;-2.0;650009865904803840
785035274190180352;"Ring of Fire: Kadovar";12;1;2;3;1;3;1;11;22;11;5;6.0;0.5;0.6;0.0;0.0;-4.0;647208089870774272
784632717483638784;"Deep Cuts Superflex";12;1;3;3;1;2;1;16;27;11;5;6.0;0.5;0.5;0.0;0.0;-4.0;655320554005422080
784529721038921728;DFL;12;1;1;2;1;5;1;31;42;11;8;4.0;1.0;1.0;0.0;0.0;-1.0;650931892811575296
784633823555092480;"King of Kings Dynasty ";12;1;2;3;1;2;1;25;35;10;0;6.0;1.0;0.5;0.0;0.0;-2.0;650070189244780544
784462487662739456;"Heroes vs Villians Dynasty League";12;1;2;3;1;3;1;14;25;11;5;6.0;1.0;0.5;0.0;0.0;-2.0;650227658956853248
784454012140384256;"League of Shadows";12;1;2;3;1;3;1;15;26;11;5;4.0;1.0;0.8;0.0;0.0;-1.0;678144113119432704
784448379987058688;NFL;14;1;2;3;1;3;1;21;32;11;4;4.0;1.0;0.5;0.0;0.0;-2.0;650004682864971776
784542810010460160;"*No Punt 💥 Intended-Superflex Dynasty";12;1;2;3;1;4;1;12;24;12;5;6.0;1.0;0.5;0.0;0.0;-1.0;658679510140522496
784471111088922624;"The Dynasty Strikes Back";12;1;2;2;1;2;1;14;23;9;4;4.0;1.0;0.0;0.0;0.0;-1.0;704006178740469760
784471212347809792;"Fantasy Addicts Anonymous";14;1;2;2;1;3;1;27;37;10;7;4.0;0.5;0.0;0.0;0.0;-1.0;650005868661805056
784432433201340416;"SF 21.2";12;1;2;3;1;3;1;20;31;11;5;4.0;1.0;0.5;0.0;0.0;-1.0;707628848820334592
784471355344220160;"Hogwarts School of Dynasty Fantasy Football";12;1;2;2;1;2;1;14;23;9;5;4.0;1.0;0.0;0.0;0.0;-1.0;701458356426080256
784471303443869696;"Covid-19 Induced Dynasty League";12;1;2;2;1;3;1;16;26;10;5;6.0;0.5;0.6;0.0;0.0;-3.0;650010658238214144
784908977929576448;"The Gin and Clubs";12;1;2;2;1;3;1;15;25;10;4;4.0;1.0;0.0;0.0;0.0;-1.0;699767837853577216
784471447736287232;"College Team Name SF IDP Dynasty";12;1;2;2;1;2;1;26;35;9;0;4.0;1.0;0.0;0.0;0.0;-1.0;724295073784774656
784471493387079680;"Marvel PPR Dynasty ";12;1;2;2;1;3;1;14;24;10;0;4.0;1.0;0.5;0.0;0.0;-1.0;715666074795851776
784471402177830912;"ESDI Fantasy Football League";14;1;2;2;1;3;1;15;25;10;4;4.0;1.0;0.0;0.0;0.0;-2.0;683717146504695808
784471535695101952;"District 13 Dynasty League";12;1;2;2;1;3;1;15;25;10;0;4.0;1.0;0.0;0.0;0.0;-1.0;711625370452979712
784910682150858752;"Fantasy Addiction";12;1;2;3;1;2;1;15;25;10;4;6.0;1.0;0.5;0.0;0.0;-2.0;738556854870958080
784606023511105536;"The Dirty Dozen";12;1;2;3;1;2;1;13;23;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;714285028238041088
784498740881907712;"Ingenuity of Complete Fools Dynasty  (120-$50)";12;1;2;3;1;2;1;16;26;10;4;4.0;1.0;0.5;0.0;0.0;-1.0;650040626611597312
784891423752323072;"Heroes Vs. Villains";12;1;1;1;1;5;1;19;29;10;10;6.0;1.0;1.0;0.0;0.0;-2.0;655118616978628608
784557032350060544;"🏆 Heros Vs Villains 😈 DEVY $25";12;1;2;3;1;3;1;16;27;11;8;6.0;1.0;0.8;0.3;0.0;-1.0;718536332854505472
