tradeid;time;leagueid;items1;items2;owner1;owner2;rounds
644071556028502016;1607921143049;643570949232353280;"2021-05.06; 2021-06.06";"2021-05.10; 2021-06.10";6;578871025991720960;28
644077633017298944;1607922629944;642881605513330688;"2021-11.02; 2021-05.02";"2021-10.12; 2022-01; 2022-02";462257441967435776;458455019826442240;30
644110275687043072;1607930449395;642881605513330688;"2021-10.06; 2021-14.06; 2021-06.06; 2022-01; 2023-01";"2021-10.02; 2021-14.02; 2021-06.02; 2021-07.02; 2021-03.01";458455019826442240;571885294823559168;30
644202446968688640;1607966837206;643620574253367296;"2021-10.09; 2021-08.09";2021-08.12;472434530850959360;604482753785827328;26
644216838510718976;1607956328211;643236741058207744;"2021-06.01; 2021-08.01";"2021-08.10; 2021-07.09";178320464186589184;466130036219441152;22
644228056789114880;1607958504919;641792599157600256;"2021-17.03; 2021-04.03; 2022-02";"2021-10.08; 2022-01; 2021-11.12; 2022-01";515610837643173888;394215252612354048;31
644234419829301248;1607959984731;643236741058207744;"2021-11.11; 2021-07.11";2021-17.07;462049724665425920;461384129326346240;22
644239476121448448;1607961450868;641792599157600256;"2021-23.07; 2021-25.07";"2021-22.08; 2021-27.08";515610837643173888;581365416757071872;31
644243569749610496;1607962199283;643570949232353280;"2022-01; 2021-08.01; 2022-02";"2021-05.12; 2021-06.12";11;549698708074643456;28
644257992354656256;1607966871442;642881605513330688;"2021-13.02; 2021-02.02; 2021-04.02; 2021-08.02; 2021-06.06";"2022-01; 2022-02; 2023-01; 2023-02";461295421063426048;458455019826442240;30
644260833924317184;1607966313729;643570949232353280;"2021-07.06; 2021-08.06";"2021-10.02; 2021-06.02";1;578871025991720960;28
644272701971738624;1607969138730;644245761244098560;2021-01.09;"2021-13.05; 2021-02.05; 2021-09.05";635510075175317504;654249831300157440;22
644275633760858112;1607969942600;644245761244098560;"2021-10.04; 2021-02.04";2021-02.07;578134003148689408;696494900912398336;22
644292529897967616;1607973891899;642881605513330688;"2021-03.02; 2021-05.01";"2022-02; 2023-01";462257441967435776;458455019826442240;30
644332531017162752;1608153780706;642881605513330688;2022-01;"2021-11.10; 2022-02; 2023-03";437202389871620096;571919779705741312;30
644419083282051072;1608004163893;642193452871884800;"2021-04.07; 2021-05.07";"2021-03.11; 2021-08.11";367873457070997504;417609044493082624;38
